"","x_C2","kcat","phi","rel_phi","mu","mu_norm","opt_phi_nonzero","convergence","shape"
"184",0.02,60,0.01,0.0563275992752128,0.637355866402395,0.745662890406853,TRUE,4,19
"185",0.02,60,0.03,0.168982797825638,0.665233103017111,0.778277355772989,TRUE,4,19
"186",0.02,60,0.05,0.281637996376064,0.693103357819852,0.810883652895335,TRUE,4,19
"187",0.02,60,0.07,0.39429319492649,0.720973620380964,0.843489959094447,TRUE,4,19
"188",0.02,60,0.09,0.506948393476915,0.748843885907838,0.876096268763299,TRUE,4,19
"189",0.02,60,0.11,0.619603592027341,0.77671414746437,0.908702573787121,TRUE,4,19
"190",0.02,60,0.13,0.732258790577766,0.804584411573952,0.941308881797836,TRUE,4,19
"191",0.02,60,0.15,0.844913989128192,0.832454672367354,0.973915185928848,TRUE,4,19
"192",0.02,60,0.17,0.957569187678618,0.853097834141862,0.998066277159564,TRUE,4,19
"193",0.02,60,0.19,1.07022438622904,0.850491470004978,0.9950170088964,TRUE,4,19
"194",0.02,60,0.21,1.18287958477947,0.828150258031403,0.968879314754756,TRUE,4,19
"195",0.02,60,0.23,1.29553478332989,0.791686247808835,0.926218909961026,TRUE,4,19
"196",0.02,60,0.25,1.40818998188032,0.746527011025405,0.873385683182126,TRUE,4,19
"197",0.02,60,0.27,1.52084518043075,0.696972729046382,0.815410553305176,TRUE,4,19
"198",0.02,60,0.29,1.63350037898117,0.6459717593482,0.755742897473656,TRUE,4,19
"199",0.02,60,0.31,1.7461555775316,0.595387098206288,0.696562294257061,TRUE,4,19
"200",0.02,60,0.33,1.85881077608202,0.546267520082152,0.639095738239698,TRUE,4,19
"201",0.02,60,0.35,1.97146597463245,0.499135087608224,0.583954007092242,TRUE,4,19
"202",0.02,60,0.37,2.08412117318287,0.454299984517447,0.531499994624972,TRUE,4,19
"203",0.02,60,0.39,2.1967763717333,0.41186669454567,0.481855939682124,TRUE,4,19
"204",0.02,60,0.41,2.30943157028373,0.371866510466391,0.435058452674246,TRUE,4,19
"205",0.02,60,0.43,2.42208676883415,0.334285093451093,0.391090758150007,TRUE,4,19
"206",0.02,60,0.45,2.53474196738458,0.299084366449464,0.349908308557732,TRUE,4,19
"207",0.02,60,0.47,2.647397165935,0.266214519842329,0.311452830040441,TRUE,4,19
"208",0.02,60,0.49,2.76005236448543,0.235620158450297,0.275659514016687,TRUE,4,19
"209",1e-05,100,0.001,0.1,0.622792370925156,0.999003235313576,FALSE,4,19
"210",1e-05,100,0.01,1,0.617199797515776,0.990032350006488,FALSE,4,19
"211",1e-05,100,0.03,3,0.604771857078204,0.97009705008145,FALSE,4,19
"212",1e-05,100,0.05,5,0.592343915637787,0.950161748547776,FALSE,4,19
"213",1e-05,100,0.07,7,0.579912867910078,0.930221464308471,FALSE,4,19
"214",1e-05,100,0.09,9,0.567484927058631,0.910286163719548,FALSE,4,19
"215",1e-05,100,0.11,11,0.555056986185022,0.890350863095075,FALSE,4,19
