"","convergence","mu","x_C","x_W","C","AA","NT","ATP","rRNA","DNA","p","tau tC","tau MET","tau RNAp","tau DNAp","tau r","v tC","v MET","v RNAp","v DNAp","v r","p tC","p MET","p RNAp","p DNAp","p r","f tC","f MET","f RNAp","f DNAp","f r"
"22",4,0.444488527446183,0.006,0.8,10.3298229390993,16.4915864266371,4.82397273041275,37.0292018912508,60.3980029919488,7.87907749178156,117.048335848446,0.409899458623357,0.129647506699437,0.227526426177041,0.104012080538076,0.965970862743727,112.900086113378,108.308598326398,26.8462194105815,3.50215955195635,52.026642441302,46.2776841764042,14.0419397271283,6.1082243588543,0.364266901375275,50.2562206846839,1.00000000125817,0.959331407009752,0.237787413354129,0.0310199901251242,0.460820219875771
"23",4,0.375374025326206,0.004,0.8,9.20649542186898,14.4971211342305,4.74615751439927,36.9698529894534,60.9239571494749,7.76793666786049,119.888478983697,0.603248259860789,0.134063164323534,0.229266203147587,0.104807407153183,0.988912915761804,95.3450023806737,91.8891231350194,22.8692710339997,2.91588165549383,45.0030209463467,57.5167067725642,12.3189466143956,5.24315093871821,0.305605995877838,44.5040686621412,0.999999999452695,0.963753954484707,0.239858099013681,0.0305824278262224,0.472001885762587
"24",4,0.325721065017747,0.003,0.8,8.40182715964698,13.109930355525,4.68535340774646,36.9319505431044,61.3141577021316,7.67994070529456,121.87684000344,0.796597061098221,0.137952048433406,0.230678912661876,0.105453217216858,1.00925910638228,82.7331504744079,79.9964983838726,19.9713127474044,2.50151846580169,39.697854126918,65.9049845233102,11.0356808195549,4.6069607090015,0.263793170146166,40.0654207814272,0.999999999515311,0.966921939831661,0.241394321661935,0.0302359870287187,0.479830078753701
"25",4,0.548788919721903,0.1,1.6,13.4931749717706,29.4194937238642,4.4860911952787,38.0087073553917,60.3032155852178,7.36274071365608,100.9265764071,0.0464037122969838,0.121163193170355,0.235911182629703,0.107845112059293,1.26785701910979,139.392385583175,131.987480666798,33.0937365367687,4.0405905224398,55.3873868376827,6.46832415699187,15.9920246160998,7.80718252402491,0.435757937678236,70.2232871723054,0.999999999812123,0.94687726370279,0.237414234587472,0.0289871681640003,0.397348726012205
"26",4,0.487996359144498,0.02,1.6,12.0078270974228,25.2699385414918,4.38132259137682,37.762195891772,61.0092155645282,7.20711364820023,106.362386442982,0.139211136890951,0.124590285577719,0.238740563665433,0.109138543389912,1.28895081803774,123.951075114257,118.091299209478,29.7722750697516,3.51704522026234,51.9044573340953,17.2553700855114,14.7130286927527,7.10784973175483,0.383845192375884,66.9022927405869,0.999999999125093,0.95272508929272,0.240193762065072,0.0283744631818907,0.418749552925125
"27",4,0.430953466432501,0.01,1.6,10.7849373667474,22.0442130036398,4.29770847368775,37.5804216260128,61.585392527673,7.08141783644136,110.625909325219,0.255220417633411,0.128120340468541,0.241121660875363,0.110227044971595,1.31147794135993,109.462180542558,104.814374399101,26.5404383914069,3.05176156387135,47.6746191009506,27.9369834331355,13.42885333401,6.39947458529628,0.33638665914343,62.5242113136337,1.00000000062764,0.95753961729399,0.242462175305799,0.0278795977812652,0.435535076083539
"28",4,0.374619369317738,0.006,1.6,9.67260403295457,19.2750228093868,4.2218398225313,37.4334041406369,62.1102111005333,6.96616779763051,114.320750064932,0.409899458623357,0.132106458268144,0.243384413595303,0.111261446214996,1.3373046283015,95.1533197200204,91.5297748975347,23.2676881106733,2.60966138690988,42.8267672892554,39.0032942394515,12.0916743877938,5.66299262653464,0.290354700039024,57.2724341111126,0.999999999088996,0.961918880849017,0.24452839015958,0.0274258574709863,0.450081693169022
"29",4,0.323318060041492,0.004,1.6,8.70650682793352,16.9963131793583,4.15423595296126,37.319761570816,62.5713480201659,6.8624639402541,117.389370381049,0.603248259860789,0.136395000438134,0.245488652096247,0.112223383815427,1.36523868993719,82.1227872093282,79.3078163119827,20.2304468560611,2.21875852826765,37.9541035010929,49.5404284789451,10.8171896406203,4.9663451299992,0.248996589911533,51.8164105415726,0.99999999949818,0.965722413561434,0.246343889843173,0.0270175745679295,0.46216287551594
"30",4,0.28512094816272,0.003,1.6,8.00062023513071,15.4017397362374,4.10259633741737,37.2445481561701,62.914629657346,6.7825879289198,119.55327792952,0.796597061098221,0.140183293299953,0.247155348858872,0.112985302335484,1.38992896301646,72.4207208278398,70.1395764005095,17.9382788612089,1.93385790129063,34.0871439592259,57.690133374072,9.83239681048711,4.43354156986981,0.218497519651188,47.3787086554398,0.999999999924178,0.968501495061458,0.247695392351756,0.0267031020823614,0.470682196572913
"31",4,0.386779701730863,0.1,3.2,11.6497963555314,35.0347499478954,3.81802702743566,38.8988905824614,62.5681079975069,6.31892619680916,95.7115023203971,0.0464037122969838,0.125547069287793,0.257591465463579,0.117756098497636,1.96824205604308,98.2420444051952,93.7361396455774,24.2000741491401,2.44403238966118,37.019266319696,4.55879556404618,11.7682976188536,6.23373256440427,0.287799718808355,72.8628768542848,1.00000000168519,0.954134661702778,0.246331133848452,0.024877662192162,0.37681693826928
"32",4,0.35409159496721,0.02,3.2,10.5540934857716,30.4343273377976,3.72130096530159,38.5460007937555,63.148548828196,6.16392246942582,101.431807148602,0.139211136890951,0.128878492000245,0.261505651785291,0.119545440816133,1.99613192550598,89.9392654859783,86.2021496901684,22.3603703744406,2.18259313845321,35.9161503736548,12.5205473994401,11.1096030592483,5.84736322892861,0.260919058858656,71.6933744021259,1.00000000405059,0.958448454894008,0.248616333969276,0.024267411296952,0.399337823419691
"33",4,0.32177145893401,0.01,3.2,9.6260968353888,26.7555780770723,3.6448126084382,38.2712947865417,63.6269679836626,6.0403905621615,106.034859829665,0.255220417633411,0.13229318338871,0.264782081629188,0.1210432373162,2.02576095006281,81.7299507889858,78.6325475664227,20.4733423156506,1.94362528371793,34.1189915452544,20.8591521735231,10.4025500355262,5.42097419624492,0.235262696470837,69.1169207278996,1.0000000026887,0.962101983651736,0.250499873951427,0.0237810652053603,0.417460078069546
"34",4,0.288106571045359,0.006,3.2,8.75877466680388,23.535556010159,3.57680889306983,38.0387943596642,64.0657068332016,5.92985194145593,110.094507521541,0.409899458623357,0.136138774283591,0.267840334138304,0.122441295606082,2.05954371344156,73.1790691106032,70.6556085747913,18.457751117311,1.70842930965954,31.7189510529586,29.9960608109974,9.61896794763328,4.94373022670223,0.209182298126118,65.3265662380816,1.00000000088935,0.965516636059414,0.252227192256699,0.0233458737852596,0.433442942998192
"35",4,0.255767100017618,0.004,3.2,7.98499173598796,20.8483331651838,3.51779860117619,37.8519826915694,64.4533244252796,5.83337952560736,113.510190098061,0.603248259860789,0.140274745753104,0.270612887993889,0.123708748797206,2.09588800110159,64.9648434665918,62.9225452866135,16.4850398747485,1.49198656456674,29.0321721438296,39.18992877335,8.82644404221791,4.4610642492001,0.184571791124794,60.8481812421682,1.00000000095616,0.968563025617627,0.253753245768818,0.0229660611244384,0.446890512197091
"36",4,0.230538673998212,0.003,3.2,7.40631323369042,18.9499296386327,3.47386504476948,37.7246358284219,64.7430297001343,5.76121128982646,115.941015280649,0.796597061098221,0.143932689443749,0.272753203559458,0.124687178770038,2.12787297155149,58.5568231992632,56.8493815671528,14.9257722176958,1.32818201138012,26.7288879248073,46.6461932677812,8.18248438217417,4.07105218797529,0.165607267892102,56.8756781748265,1.00000000006348,0.970841286545016,0.254893817717064,0.0226819342119152,0.456460690081296
"37",4,0.246748761316301,0.1,6.4,9.74180020041626,42.5541922274149,3.19204130502833,40.0099835855978,64.8011931055566,5.28422559933001,88.4165642101223,0.0464037122969838,0.131831937233469,0.288424001603543,0.13185097216162,3.33593317168917,62.6741854319479,60.2704082995043,15.9896141306145,1.30387612115057,21.8166776986909,2.90831486923192,7.94556468397577,4.6117884916484,0.171917334152025,72.7789788311142,1.00000000091916,0.961646456823031,0.255122807502192,0.0208040377926378,0.34809670948867
"38",4,0.232017122646804,0.02,6.4,8.96122288055005,37.5208112767804,3.10361512964597,39.5634690832247,65.2732052265374,5.13481282971854,94.4428637404327,0.139211136890951,0.13517454674652,0.294024696645602,0.134411289895132,3.37438435000827,58.9323491910094,56.8531920428675,15.1445012625955,1.19136449808119,21.9123614995793,8.20403933053495,7.6851044654875,4.45285738958359,0.16013283892236,73.9407297159043,1.00000000065705,0.96471959561551,0.256981122939124,0.020215798542199,0.37182229819068
"39",4,0.216754654569293,0.01,6.4,8.28940029249936,33.3396092782875,3.0332962317393,39.1959320985498,65.6645036241085,5.01538005384312,99.4618784124415,0.255220417633411,0.138555509793683,0.298768976446449,0.136580103518377,3.41532275625684,55.0556822587513,53.258916161764,14.2330868005077,1.08710697110449,21.5588250981018,14.0513342191709,7.37931627985225,4.25240477506116,0.148477182649,73.6303459557082,0.999999999966413,0.967364565743975,0.258521667811451,0.0197455907631619,0.391582198474179
"40",4,0.200031079307871,0.006,6.4,7.65088000069495,29.5768302255441,2.97126420033624,38.8700762492372,66.0238811311289,4.90959067259429,103.997477534691,0.409899458623357,0.142319222061471,0.303186591254786,0.138599584573617,3.46194834933692,50.8078941470449,49.2774803628509,13.2068282027543,0.982070721198892,20.8027276765602,20.8261283046665,7.01313267039037,4.00413322408065,0.136114593980078,72.0179687415731,1.00000000005601,0.969878425250124,0.259936539886334,0.019329097136198,0.409438887931853
"41",4,0.183072251945607,0.004,6.4,7.07001601816795,26.3705552078978,2.91836427514613,38.5977260336207,66.3415666423269,4.81906425822428,107.882707501775,0.603248259860789,0.146333605697469,0.307139102322961,0.140406446776211,3.51194744333479,46.5003519826797,45.2060282289422,12.1453000028103,0.882236946023705,19.7503302083392,28.0512564164657,6.61516111000268,3.73029654030623,0.123871754805884,69.3621216801948,0.999999999752595,0.97216529101965,0.261187270245382,0.0189726939300169,0.424735068904627
"42",4,0.169162859073568,0.003,6.4,6.62703414639517,24.0727546578914,2.87980220374408,38.4064011527935,66.5791913853506,4.75289619180912,110.681920344757,0.796597061098221,0.149868061549915,0.310134719096803,0.14177587158711,3.55578184672807,42.9673662186829,41.8463181753005,11.2627263695521,0.804013508686302,18.723270093272,34.2276776529338,6.27142658793329,3.49296247888521,0.113989715961811,66.5758639090432,1.00000000032575,0.973909314710024,0.262122800729727,0.018712189731532,0.435755591908493
